Date time (UTC),Geographic longitude (deg),Geographic latitude (deg),Geomagnetic latitude (deg),Magnetic local time,Solar zenith angle (deg),"Colours, naked eye","Colours, camera",Special forms
2024-05-10 21:00:00+00:00,5.4,52.2,48.4,21.9,102.2,"red,purple/pink/magenta","red,green,purple/pink/magenta",
2024-05-10 21:00:00+00:00,5.2,52.7,49.0,21.9,101.7,"red,green,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-10 20:45:00+00:00,5.0,51.6,47.7,21.6,101.1,"red,green","red,green,blue",
2024-05-10 21:07:00+00:00,5.1,51.5,47.5,22.0,103.4,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",STEVE
2024-05-10 22:00:00+00:00,4.8,53.1,49.4,22.9,105.9,purple/pink/magenta,"red,green,purple/pink/magenta",
2024-05-10 21:00:00+00:00,8.0,50.6,46.4,22.0,104.5,red,"red,green",
2024-05-10 22:30:00+00:00,4.6,51.9,48.0,23.3,108.6,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-10 20:22:00+00:00,5.9,51.1,47.1,21.3,99.4,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 21:45:00+00:00,5.1,52.5,48.8,22.6,105.5,"red,green,purple/pink/magenta","green,purple/pink/magenta",
2024-05-10 23:25:00+00:00,4.1,51.8,47.9,0.2,110.2,"blue,purple/pink/magenta","green,blue,purple/pink/magenta",
2024-05-11 21:45:00+00:00,5.5,51.5,47.6,22.6,106.3,"red,green,purple/pink/magenta","red,green,blue,purple/pink/magenta",
2024-05-11 20:00:00+00:00,4.7,52.0,48.1,20.8,95.5,blue,blue,
2024-05-10 00:30:00+00:00,3.6,51.4,47.4,1.2,110.1,purple/pink/magenta,"green,purple/pink/magenta",
2024-05-10 21:59:00+00:00,4.6,52.5,48.8,22.8,106.4,"green,purple/pink/magenta","red,green,blue,purple/pink/magenta","Dunes,STEVE"
2024-05-09 23:45:00+00:00,4.8,51.6,47.7,0.5,110.7,blue,"red,green,blue,purple/pink/magenta",
2024-05-10 20:27:00+00:00,5.5,53.1,49.5,21.4,98.3,"red,green,blue,purple/pink/magenta","red,green,blue,purple/pink/magenta",
